WHERE GET ON,Name,S7,N5,W3,E7,P1,NE8,N7,NE9,N2,S6,E6,W1,NE10,N9,E5,S5,E4,5P,S1,E1,W5,E9,E3,E8,E2,S4,NE7,N6,N8,N4,N3,N11,S3,N1,N10,W2,S2,W4,
S7,Airport,0,76,8,42,9,30,58,24,24,162,20,30,53,57,2,73,7,154,12,24,33,30,7,40,6,28,38,59,28,51,56,82,60,126,44,7,72,10,1644
N5,Arts Center,64,0,5,10,4,16,27,21,28,55,9,25,29,30,1,8,4,146,11,35,11,10,4,15,5,8,27,61,14,45,39,26,12,98,34,4,25,3,967
W3,Ashby,12,29,0,7,16,6,5,6,4,15,17,14,11,6,2,9,2,139,6,37,60,10,12,12,4,2,4,18,6,17,11,6,16,14,10,7,25,9,585
E7,Avondale,54,51,4,0,6,5,19,21,28,27,193,45,22,28,10,14,8,310,10,193,27,58,22,222,21,2,19,29,16,48,51,27,9,115,12,9,22,11,1770
P1,Bankhead,15,15,23,13,0,4,4,6,7,16,11,11,3,6,0,15,3,147,6,36,34,6,9,9,5,3,5,19,3,15,11,8,19,15,5,8,30,5,550
NE8,Brookhaven,69,80,1,3,1,0,10,30,50,34,3,14,29,18,0,5,1,211,6,25,5,4,2,6,4,2,30,33,7,68,75,16,5,219,7,1,15,1,1090
N7,Buckhead,58,13,1,0,1,0,0,3,12,12,2,33,1,24,0,1,1,34,2,4,2,2,1,3,2,1,1,11,12,23,7,16,1,33,16,0,3,0,338
NE9,Chamblee,60,111,1,10,5,29,11,0,42,10,11,17,56,14,1,18,2,263,10,42,12,15,4,15,11,5,46,59,7,91,87,12,5,238,12,1,28,4,1368
N2,Civic Center,24,32,3,8,4,7,24,10,0,13,8,5,14,18,0,12,1,60,5,17,8,10,2,8,2,2,17,50,24,32,35,14,8,22,17,2,14,1,532
S6,College Park,396,197,14,48,31,41,103,56,97,0,73,33,52,135,2,147,4,609,48,113,84,26,22,34,15,19,89,159,112,126,225,82,117,270,97,12,122,22,3833
E6,Decatur,38,27,5,140,2,5,9,9,10,13,0,18,9,13,7,8,4,112,3,75,18,49,14,122,11,1,11,15,8,17,22,8,9,29,8,4,17,6,876
