WHERE GET ON,Name,S7,N5,W3,E7,P1,NE8,N7,NE9,N2,S6,E6,W1,NE10,N9,E5,S5,E4,5P,S1,E1,W5,E9,E3,E8,E2,S4,NE7,N6,N8,N4,N3,N11,S3,N1,N10,W2,S2,W4,,
S7,Airport,0,170,26,135,14,117,118,137,56,1007,76,61,264,157,21,252,24,319,35,30,82,142,39,165,25,85,125,245,60,167,128,346,160,330,125,25,224,20,5512,
N5,Arts Center,174,0,33,41,16,58,43,77,48,122,36,29,98,66,13,57,16,341,25,33,75,68,48,77,36,28,76,316,20,106,112,122,68,164,40,19,134,27,2860,
W3,Ashby,38,33,0,18,47,7,9,6,12,37,21,21,13,9,4,27,6,226,10,44,116,21,31,28,14,9,23,26,6,29,21,14,39,17,6,25,51,39,1101,
E7,Avondale,178,56,16,0,20,9,9,26,17,55,301,35,35,23,27,33,23,290,11,153,82,214,82,334,42,9,18,37,14,28,23,30,38,40,16,16,60,22,2419,
P1,Bankhead,41,27,41,17,0,5,3,9,6,42,12,10,12,9,3,30,4,236,10,36,75,17,20,24,12,7,7,22,3,20,18,10,51,15,6,21,48,24,957,
NE8,Brookhaven,119,51,7,10,5,0,4,51,15,31,9,18,54,20,3,25,3,171,8,12,26,21,12,21,4,10,54,57,2,48,37,18,24,68,3,5,31,6,1062,
N7,Buckhead,116,39,4,7,4,6,0,8,11,40,10,25,23,62,4,21,3,72,6,7,13,21,7,19,8,7,4,145,12,43,33,70,13,60,31,2,26,4,989,
NE9,Chamblee,143,69,8,28,8,58,8,0,23,45,17,28,133,27,5,26,2,251,15,25,28,34,15,35,10,7,68,90,8,56,48,33,29,109,10,5,38,8,1551,
N2,Civic Center,55,53,11,15,7,21,15,21,0,43,15,7,36,14,5,30,4,174,14,19,28,20,11,24,5,14,26,81,6,47,38,30,28,43,13,11,50,7,1041,
S6,College Park,977,132,26,48,34,22,36,40,38,0,59,41,95,50,5,249,8,532,34,76,115,43,45,70,22,51,63,114,72,70,86,50,159,116,52,18,213,36,3896,
E6,Decatur,82,44,22,305,15,6,10,22,17,63,0,25,23,16,33,43,35,279,12,79,84,206,77,355,38,10,24,44,6,27,32,18,35,26,8,21,52,28,2223,
W1,Dome,60,40,21,50,12,27,29,39,5,49,29,0,65,37,18,20,24,86,4,14,110,79,42,57,22,10,41,79,6,38,26,85,21,22,21,10,15,20,1330,
NE10,Doraville,241,66,6,22,10,40,8,107,20,68,17,34,0,22,2,28,4,295,20,47,33,30,18,32,9,12,57,70,4,54,72,30,18,129,13,8,43,5,1695,
N9,Dunwoody,141,71,13,24,6,14,65,31,16,66,16,21,30,0,5,33,5,170,5,16,32,32,17,49,13,10,26,173,17,47,45,100,31,66,52,7,60,11,1537,
E5,East Lake,23,11,1,25,1,2,1,6,6,6,32,13,6,3,0,5,4,66,2,63,15,13,11,27,4,1,4,9,2,5,14,3,5,13,3,3,10,2,421,
