WHERE GET ON,Name,S7,N5,W3,E7,P1,NE8,N7,NE9,N2,S6,E6,W1,NE10,N9,E5,S5,E4,5P,S1,E1,W5,E9,E3,E8,E2,S4,NE7,N6,N8,N4,N3,N11,S3,N1,N10,W2,S2,W4,,
S7,Airport,0,115,10,49,9,67,83,59,30,397,49,37,161,100,8,131,14,176,17,5,49,70,34,77,18,36,61,136,25,82,66,234,81,180,72,9,128,10,2885,
N5,Arts Center,116,0,21,58,11,65,36,86,77,193,35,21,131,73,23,95,25,273,19,13,76,113,37,85,36,49,65,249,19,71,75,227,67,85,55,14,113,14,2824,
W3,Ashby,16,21,0,8,32,3,5,2,6,25,6,12,9,9,2,20,6,150,3,20,88,14,12,18,11,6,25,12,2,10,11,6,43,13,1,21,40,46,736,
E7,Avondale,42,29,14,0,9,4,2,13,8,37,155,27,15,9,27,27,12,162,5,41,63,185,49,241,32,5,6,23,3,9,10,13,19,11,6,19,24,20,1377,
P1,Bankhead,8,6,28,6,0,2,2,4,3,26,7,4,8,1,1,17,4,126,1,5,32,12,13,15,5,5,4,13,0,6,6,4,25,7,0,11,24,15,461,
NE8,Brookhaven,65,33,4,8,2,0,3,39,17,33,11,26,52,8,2,24,1,84,7,5,13,18,9,16,6,5,43,35,0,22,19,16,19,34,4,2,30,4,724,
N7,Buckhead,107,54,3,20,4,10,0,10,50,101,12,21,22,60,18,41,7,86,4,4,35,71,24,34,10,26,3,119,11,44,29,138,32,34,36,5,40,4,1328,
NE9,Chamblee,56,43,7,14,4,34,2,0,23,54,14,29,114,10,8,21,6,128,5,10,31,37,15,39,11,12,48,51,3,22,22,18,17,35,4,6,32,9,996,
N2,Civic Center,37,45,6,24,3,40,14,51,0,85,10,1,79,27,10,39,8,76,5,4,32,51,11,38,6,33,41,83,12,34,14,97,33,15,31,4,46,11,1159,
S6,College Park,201,71,17,29,20,28,13,18,18,0,18,27,40,21,3,131,8,224,15,20,68,31,20,51,14,31,29,100,18,43,35,27,93,32,17,14,118,24,1688,
E6,Decatur,44,24,16,217,11,4,2,11,9,70,0,11,15,8,34,30,19,173,9,25,87,189,59,283,26,13,13,21,2,16,16,8,26,12,6,15,35,23,1586,
W1,Dome,44,22,15,50,10,14,30,13,5,34,26,0,20,10,12,14,19,79,1,6,51,54,29,50,9,4,26,35,3,17,19,23,20,11,5,9,20,13,828,
NE10,Doraville,89,52,10,14,4,24,7,60,23,60,10,41,0,9,2,30,3,168,11,8,30,22,16,24,12,11,44,40,2,25,42,22,26,47,7,5,37,9,1050,
N9,Dunwoody,101,66,10,24,11,16,43,19,34,115,11,25,36,0,8,47,5,136,5,6,45,46,17,34,15,25,22,117,9,53,41,90,40,37,34,5,67,11,1428,
E5,East Lake,6,4,3,14,1,2,0,3,1,3,14,9,6,1,0,4,3,25,1,17,6,9,5,7,4,0,1,5,0,1,4,3,5,3,1,2,7,3,188,
S5,East Point,105,27,9,18,13,8,4,16,10,184,13,10,24,11,3,0,4,166,13,9,38,26,19,27,14,26,23,37,4,14,25,16,77,26,5,12,102,13,1153,
E4,Edgewood,12,6,4,17,4,1,1,3,1,7,17,12,6,2,6,10,0,54,2,25,16,15,19,17,6,2,2,6,1,6,5,2,10,3,0,3,12,2,319,
5P,Five Points,253,289,209,321,189,199,44,268,65,712,146,40,450,154,143,411,173,0,38,65,726,551,335,522,143,207,205,533,55,238,203,571,432,108,126,182,597,199,10098,
S1,Garnett,18,23,6,5,5,4,4,13,8,50,5,2,16,6,0,30,0,58,0,5,14,13,9,12,5,15,11,19,0,15,14,22,39,13,8,8,74,5,556,
E1,Georgia State,30,42,31,178,28,12,4,26,13,101,84,10,66,14,67,42,110,186,4,0,141,259,150,197,28,20,21,54,5,23,23,63,58,17,16,24,72,39,2258,
W5,H. E. Holmes,41,24,71,38,36,7,4,12,9,86,34,58,25,6,9,49,7,373,14,30,0,49,39,76,22,18,24,28,3,18,24,11,87,32,3,28,108,132,1639,
E9,Indian Creek,32,20,11,90,6,3,2,10,5,22,82,44,14,9,9,11,6,109,4,34,31,0,22,124,14,2,11,17,3,9,12,6,21,8,4,10,30,8,856,
E3,Inman Park,18,17,21,37,10,5,3,4,7,30,36,21,14,9,13,25,10,154,5,46,51,27,0,54,27,9,10,20,1,14,15,5,25,15,4,19,48,14,848,
E8,Kensington,34,27,15,189,9,7,4,16,7,43,183,18,25,9,21,27,10,182,8,36,67,203,56,0,26,5,14,18,6,13,12,9,31,17,7,16,35,23,1432,
E2,King Memorial,16,16,9,28,7,3,4,6,3,16,22,13,13,2,5,14,4,107,3,14,33,25,26,40,0,3,8,21,2,11,8,7,18,9,2,12,23,12,565,
S4,Lakewood,36,10,4,4,5,4,3,5,7,44,1,6,6,5,1,27,1,71,4,2,13,8,4,14,3,0,8,12,2,3,9,8,20,9,8,3,28,5,407,
NE7,Lenox,99,88,21,20,7,46,3,64,39,106,16,24,102,15,7,38,8,148,9,7,49,30,20,33,7,23,0,88,3,53,55,21,33,112,7,11,65,10,1489,
N8,Lindbergh Center,130,201,16,29,18,48,88,69,97,166,22,51,133,83,10,72,6,302,18,14,70,71,36,49,22,30,102,0,16,143,139,134,75,161,51,27,95,23,2816,
N8,Medical Center,58,30,7,15,3,10,12,12,36,132,7,5,25,23,12,46,10,67,2,5,32,48,18,39,5,36,5,53,0,23,20,65,21,20,8,2,44,12,971,
N4,Midtown,122,97,19,45,19,67,28,84,66,132,29,25,151,62,17,68,14,245,17,15,63,64,38,57,28,33,69,243,20,0,50,223,65,83,69,28,110,22,2588,
N3,North Avenue,110,83,12,48,11,70,18,81,78,197,33,15,244,73,35,69,20,209,9,14,71,121,31,61,19,49,64,180,20,51,0,402,59,76,137,11,69,18,2869,
N11,North Springs,161,60,9,24,7,16,35,18,23,102,11,71,43,62,3,27,6,143,6,12,45,44,16,37,14,20,13,54,11,37,30,0,34,38,34,3,40,8,1324,
S3,Oakland City,73,29,23,16,20,6,4,8,10,109,17,7,16,8,1,57,2,215,18,15,58,15,24,28,9,21,20,19,2,19,23,6,0,26,7,18,146,18,1120,
N1,Peachtree Center,282,180,14,104,13,190,68,218,29,275,31,10,303,148,41,145,30,157,15,9,97,147,47,112,26,88,169,498,46,147,98,550,79,0,127,13,124,12,4643,
N10,Sandy Springs,101,40,6,17,7,9,25,11,29,93,10,16,28,51,9,36,8,90,6,4,27,52,21,38,8,34,8,63,6,46,86,70,26,25,0,6,38,3,1157,
